calibration_sys,calibration_gyro,calibration_accel,calibration_mag,orientation_x,orientation_y,orientation_z,angular_velocity_x,angular_velocity_y,angular_velocity_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z,acceleration_x,acceleration_y,acceleration_z,gravity_x,gravity_y,gravity_z,magnetometer_x,magnetometer_y,magnetometer_z,quaternion_w,quaternion_x,quaternion_y,quaternion_z,pressure,temperature,altitude,timestamp,stage,velocity_x,velocity_y,velocity_z
3,3,3,3,-96.3991,-107.2962,-47.262,0.0874,-0.7821,0.0,0.0238,-0.0507,0.0512,-9.2743,-1.0935,2.9647,-9.2981,-1.0428,2.9135,-27.3681,-21.4486,27.25,0.184834,-0.732475,-0.334867,-0.563186,95848.0037390307,7.840000000000032,530.57,146.6286,Stabilization,-50.646680679999555,-2.603184319999943,-9.566226810000268
3,3,3,3,-96.3991,-107.2962,-47.262,0.0874,-0.7821,0.0,0.0238,-0.0507,0.0512,-9.2743,-1.0935,2.9647,-9.2981,-1.0428,2.9135,-27.3681,-21.4486,27.25,0.184834,-0.732475,-0.334867,-0.563186,95675.82904410837,7.840000000000032,530.4,146.6571,Stabilization,-50.64600237999956,-2.6046292699999434,-9.564767610000267
3,3,3,3,-96.3991,-107.2962,-47.262,0.0874,-0.7821,0.0,0.0238,-0.0507,0.0512,-9.2743,-1.0935,2.9647,-9.2981,-1.0428,2.9135,-27.3681,-21.4486,27.25,0.184834,-0.732475,-0.334867,-0.563186,95726.47886057963,7.840000000000032,530.23,146.6857,Stabilization,-50.645321699999556,-2.6060792899999425,-9.563303290000269
3,3,3,3,-96.3991,-107.2962,-47.262,0.0874,-0.7821,0.0,0.0238,-0.0507,0.0512,-9.2743,-1.0935,2.9647,-9.2981,-1.0428,2.9135,-27.3681,-21.4486,27.25,0.184834,-0.732475,-0.334867,-0.563186,95793.20839455581,7.840000000000032,530.06,146.7143,Stabilization,-50.644641019999554,-2.607529309999943,-9.561838970000268
3,3,3,3,-96.3991,-107.2962,-47.262,0.0874,-0.7821,0.0,0.0238,-0.0507,0.0512,-9.2743,-1.0935,2.9647,-9.2981,-1.0428,2.9135,-27.3681,-21.4486,27.25,0.184834,-0.732475,-0.334867,-0.563186,95763.63799705158,7.840000000000032,529.88,146.7429,Stabilization,-50.64396033999955,-2.608979329999942,-9.56037465000027
3,3,3,3,-96.3991,-107.2962,-47.262,0.0874,-0.7821,0.0,0.0238,-0.0507,0.0512,-9.2743,-1.0935,2.9647,-9.2981,-1.0428,2.9135,-27.3681,-21.4486,27.25,0.184834,-0.732475,-0.334867,-0.563186,95788.43167582859,7.840000000000032,529.71,146.7714,Stabilization,-50.643282039999555,-2.6104242799999424,-9.558915450000269
3,3,3,3,-96.3991,-107.2962,-47.262,0.0874,-0.7821,0.0,0.0238,-0.0507,0.0512,-9.2743,-1.0935,2.9647,-9.2981,-1.0428,2.9135,-27.3681,-21.4487,27.25,0.184834,-0.732475,-0.334867,-0.563186,95774.17641049191,7.840000000000032,529.54,146.8,Stabilization,-50.64260135999955,-2.611874299999943,-9.557451130000269
3,3,3,3,-96.3991,-107.2962,-47.262,0.0874,-0.7821,0.0,0.0238,-0.0507,0.0512,-9.2743,-1.0935,2.9647,-9.2981,-1.0428,2.9135,-27.3681,-21.4487,27.25,0.184834,-0.732475,-0.334867,-0.563186,95871.30951403554,7.840000000000032,529.37,146.8286,Stabilization,-50.64192067999955,-2.613324319999942,-9.55598681000027
3,3,3,3,-96.3991,-107.2962,-47.262,0.0874,-0.7821,0.0,0.0238,-0.0507,0.0512,-9.2743,-1.0935,2.9647,-9.2981,-1.0428,2.9135,-27.3681,-21.4487,27.25,0.184834,-0.732475,-0.334867,-0.563186,95943.54785308322,7.840000000000032,529.2,146.8571,Stabilization,-50.641242379999554,-2.6147692699999423,-9.55452761000027
3,3,3,3,-96.3991,-107.2962,-47.262,0.0874,-0.7821,0.0,0.0238,-0.0507,0.0512,-9.2743,-1.0935,2.9647,-9.2981,-1.0428,2.9135,-27.3681,-21.4487,27.25,0.184834,-0.732475,-0.334867,-0.563186,95799.71412358743,7.840000000000032,529.02,146.8857,Stabilization,-50.64056169999955,-2.616219289999943,-9.553063290000269
